[54614:15826905:0606/155937.854767:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155937.871184:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155937.888278:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155937.904935:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155937.930096:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155937.937599:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155937.965852:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155937.970398:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155937.988027:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.005032:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.020116:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.037609:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.053231:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.070686:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.087810:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.104444:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.120875:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.137935:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.155031:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.171683:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.188198:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.204751:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.221682:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.238538:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.255008:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.272232:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.287766:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.305432:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.321183:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.337782:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.354194:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.371860:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155938.388101:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
